Date,Facebook,Twitter,YouTube
01/01/12,0,0,0
02/01/12,20,50,90
03/01/12,30,55,93
04/01/12,40,60,80
05/01/12,50,70,99
06/01/12,60,10,20
07/01/12,70,5,40
08/01/12,80,5,50
09/01/12,50,20,50
10/01/12,20,10,30
14/01/12,18,40,30
18/01/12,15,20,60
20/01/12,10,10,20
24/01/12,5,5,10
30/01/12,0,10,0
01/02/12,10,10,0
05/02/12,20,20,2
08/02/12,30,22,3
15/02/12,40,24,4
22/02/12,50,26,5
27/02/12,40,28,7
01/03/12,20,30,10
22/03/12,25,32,30
01/04/12,30,50,40
12/04/12,35,60,42
20/04/12,41,65,44
22/04/12,48,66,46
27/04/12,49,68,49
01/05/12,50,70,50
16/05/12,55,80,60
25/05/12,59,85,70
01/06/12,60,90,80
12/06/12,70,92,82
18/06/12,80,94,88
24/06/12,90,96,91
01/07/12,90,99,95
02/07/12,90,98,94
08/07/12,92,96,91
14/07/12,94,91,88
20/07/12,96,93,85
22/07/12,98,91,82
30/07/12,99,93,81
01/08/12,100,90,80
17/08/12,100,88,70
23/08/12,98,84,69
29/08/12,99,81,61
01/09/12,100,80,60
08/09/12,80,70,55
12/09/12,60,65,54
22/09/12,70,60,52
25/09/12,65,55,52
01/10/12,60,50,50
09/10/12,50,49,55
14/10/12,40,48,50
20/10/12,37,47,55
22/10/12,33,44,54
29/10/12,31,42,51
01/11/12,30,40,50
05/11/12,24,33,48
20/11/12,20,32,44
22/11/12,15,32,40
27/11/12,12,31,35
01/12/12,10,20,30
12/12/12,8,18,20
18/12/12,6,12,19
22/12/12,4,11,18
05/12/12,2,11,17
01/01/13,0,10,15
12/01/13,2,9,14
13/01/13,4,7,11
19/01/13,4,6,12
23/01/13,2,6,11
01/02/13,0,5,10
12/02/13,2,10,15
17/02/13,8,11,19
24/02/13,12,13,22
25/02/13,20,17,27
26/02/13,10,19,29
01/03/13,0,20,30
12/03/13,2,22,33
18/03/13,4,25,38
24/03/13,5,27,42
29/03/13,8,29,44
01/04/13,10,30,50
12/04/13,20,33,52
18/04/13,21,39,55
20/04/13,24,42,56
25/04/13,25,44,59
30/04/13,28,49,59
01/05/13,30,50,60
08/05/13,33,55,65
17/05/13,39,56,80
25/05/13,44,58,85
01/06/13,50,70,100
08/06/13,52,72,99
16/06/13,60,77,98
22/06/13,62,81,98
28/06/13,66,88,99
01/07/13,70,90,100
21/07/13,65,80,70
23/07/13,60,70,60
24/07/13,55,60,55
25/07/13,50,50,50
26/07/13,55,50,44
27/07/13,55,40,42
28/07/13,59,30,40
29/07/13,48,25,35
01/08/13,40,20,30
04/08/13,30,15,10
09/08/13,20,10,17
12/08/13,13,9,10
16/08/13,11,8,7
20/08/13,9,7,4
21/08/13,7,6,2
28/08/13,0,5,1
